(1,2,0.033305977755433654)
(1,3,0.012940845231790118)
(1,4,0.03308096866182288)
(1,5,0.02202272225488405)
(1,6,0.019811481131968747)
(1,7,0.012544332348811941)
(1,8,0.013540376684595175)
(1,9,0.027640082908188916)
(1,10,0.044349469426720516)
(2,3,0.02327524849853808)
(2,4,0.018673360313857204)
(2,5,0.05929762574670437)
(2,6,0.06606379815704658)
(2,7,0.013606973131837447)
(2,8,0.005594893445475651)
(2,9,0.019359614135653503)
(2,10,0.05198556857721234)
(3,4,0.017642968493824997)
(3,5,0.1548713614497129)
(3,6,0.0075696580697836345)
(3,7,0.010317202416988847)
(3,8,0.01936101410994236)
(3,9,0.003696441462451664)
(3,10,0.0713550423388708)
(4,5,0.011709668360270594)
(4,6,0.007333248942983146)
(4,7,0.007115770131278288)
(4,8,0.009056513927162163)
(4,9,0.00943055861007261)
(4,10,0.0605047114104022)
(5,6,0.008652322188954547)
(5,7,0.008442020669850359)
(5,8,0.012822113485486977)
(5,9,0.022909962755349268)
(5,10,0.03543319646146976)
(6,7,0.014459842632491662)
(6,8,0.00788294498191564)
(6,9,0.02586072570729761)
(6,10,0.024964649953624116)
(7,8,0.013685572036890158)
(7,9,0.008048757488972144)
(7,10,0.02511883509908075)
(8,9,0.003274359827273224)
(8,10,0.00953548118169256)
(9,10,0.010220452210658617)
